coalesce,coalesce,coalesce,coalesce,coalesce
44da8d8a-456e-4c50-a94e-d72d67fdbaf2,9e2848e0-25eb-4d97-9dd7-525826848150,2026-04-19 18:03:40.337000,2026-04-20 06:03:40.337000,""
85ceef20-50c3-4a2a-a24e-5db785255584,9e2848e0-25eb-4d97-9dd7-525826848150,2026-04-30 07:08:36.301000,2026-04-30 19:08:36.301000,""
bea12fc9-5db6-425b-ba1d-090a5ccb04ef,9e2848e0-25eb-4d97-9dd7-525826848150,2026-04-30 19:10:40.962000,2026-05-01 07:10:40.962000,""
57c7f60f-7322-49f8-807c-1c015aa19707,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 19:52:19.336000,2026-05-02 07:52:19.336000,2026-05-01 19:52:47.652000
766f5d09-8561-4449-b37d-ed45f774d3b6,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 19:52:54.405000,2026-05-02 07:52:54.405000,""
5f2bcd7d-00e2-4c68-947b-774884a43e57,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 08:37:32.702000,2026-05-02 20:37:32.702000,""
f76d437b-b961-43e0-a015-040b82af7920,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-03 18:39:02.865000,2026-05-04 06:39:02.865000,""
dcc638e6-ccc9-4fbc-9341-63a9f57ff866,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-04 18:15:54.181000,2026-05-05 06:15:54.181000,""
e300294b-1cfb-4a5d-9741-a96a1551375b,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-05 06:17:19.130000,2026-05-05 18:17:19.130000,""
31ac85f6-cfdd-4370-b9e3-ab891ed428ad,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-05 21:22:49.714000,2026-05-06 09:22:49.714000,""
30bbc018-80dd-4a07-b0f6-13bd630f4a32,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-05 21:28:31.933000,2026-05-06 09:28:31.933000,""
166f1a90-d311-4c60-abe0-2bcacca7bb7a,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-06 07:33:17.271000,2026-05-06 19:33:17.271000,""
7eb5e1dd-5a47-43ed-a35e-2357a17ecf5d,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-06 09:33:06.192000,2026-05-06 21:33:06.192000,""
c8e72299-5cfe-4bd8-958a-19ea71217f93,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-06 10:37:25.048000,2026-05-06 22:37:25.048000,""
5d2330aa-5c71-4851-84fe-511d66b2ef40,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-06 14:18:18.828000,2026-05-07 02:18:18.828000,""
ce7d07d8-0834-4c9a-8af5-e06ecc7b2446,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-07 08:26:00.603000,2026-05-07 20:26:00.603000,""
afe5cccb-6eff-4c86-8c30-a8a0e3cc5667,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-07 20:47:04.595000,2026-05-08 08:47:04.595000,""
9dfa7155-8488-4c01-9057-e7947c652af3,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-07 20:58:31.734000,2026-05-08 08:58:31.734000,2026-05-07 21:47:48.441000
de85d67b-a321-4896-9f06-bb7edc362b5d,f81c0dd2-0ed3-4cd3-b3d6-db0d08507aa2,2026-05-07 21:48:01.385000,2026-05-08 09:48:01.385000,2026-05-07 21:51:01.776000
2d369fc3-ab4f-47e4-bbdc-c10088552014,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-07 21:51:08.402000,2026-05-08 09:51:08.402000,2026-05-07 22:38:02.390000
762d48fe-721c-4253-8b87-f751ecf87153,f81c0dd2-0ed3-4cd3-b3d6-db0d08507aa2,2026-05-07 22:38:12.860000,2026-05-08 10:38:12.860000,""
2a7b60e5-3c4c-4041-846b-a562130469fd,10e6e499-62df-4c07-8c17-7c7f7a7a1eb6,2026-05-08 13:50:34.897000,2026-05-09 01:50:34.897000,""
8a4c2cf0-b942-4f96-a383-8e2ea68bf625,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-08 06:41:01.921000,2026-05-08 18:41:01.921000,2026-05-08 14:22:56.111000
09e04db0-28b3-4bf6-b535-4deac26d215f,f81c0dd2-0ed3-4cd3-b3d6-db0d08507aa2,2026-05-08 14:23:23.398000,2026-05-09 02:23:23.398000,2026-05-08 14:23:42.913000
abc2b6dd-3e2d-440c-bba2-845a7b461e3d,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-08 14:23:51.242000,2026-05-09 02:23:51.242000,""
fc429353-65c8-4e54-a5ab-82b7d6f343a5,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-08 16:39:05.839000,2026-05-09 04:39:05.839000,""
6cc38fe2-e74f-4854-9375-272ce6ecf475,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-08 19:45:28.902000,2026-05-09 07:45:28.902000,""
8874ffb5-dd77-443d-b86c-4b885c63602a,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-09 14:28:06.675000,2026-05-10 02:28:06.675000,""
59a23930-393a-4106-b4a9-5a384206b97d,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-09 14:36:54.126000,2026-05-10 02:36:54.126000,""
3c250bd8-9ccc-4161-8f50-0766e8bd023b,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-09 16:10:15.831000,2026-05-10 04:10:15.831000,""
2852f063-7985-49d1-a339-f6e531d75a8d,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-10 06:58:59.305000,2026-05-10 18:58:59.305000,""
25a8717e-31d7-4399-bdfa-8d8c92450a2a,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-10 07:12:19.880000,2026-05-10 19:12:19.880000,""
65546118-3283-4515-9c3d-7c0e65793939,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-10 08:14:10.795000,2026-05-10 20:14:10.795000,""
5c5bd019-1a09-4572-8471-37794bd5823d,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-11 10:10:43.529000,2026-05-11 22:10:43.529000,""
f61e5460-465d-4e63-8d04-89acfe75dc22,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-11 13:18:54.811000,2026-05-12 01:18:54.811000,""
86cd2e88-0f56-4949-855f-df3081c0b23b,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 05:59:30.221000,2026-05-12 17:59:30.221000,""
83bd6fa9-3cec-4b19-8101-cf685c8ce835,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 15:10:57.119000,2026-05-13 03:10:57.119000,""
48961487-b750-4cc2-866f-74604deb4038,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 07:08:18.370000,2026-05-12 19:08:18.370000,2026-05-12 17:12:45.384000
5261dccc-71dc-4b0f-900e-5bdd5c20a88c,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 20:57:40.819000,2026-05-13 08:57:40.819000,""
76bbe359-9c77-4a64-9457-f82ce70a70d8,10e6e499-62df-4c07-8c17-7c7f7a7a1eb6,2026-05-13 15:35:35.086000,2026-05-14 03:35:35.086000,""
dc8c4756-8162-4ed9-b85f-b8ad4e35e088,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-14 19:52:36.461000,2026-05-15 07:52:36.461000,""
0259fca4-be16-42c1-a4db-e058a32c4ca2,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-18 22:01:33.557000,2026-05-19 10:01:33.557000,""
644edf55-55fc-4dce-b5cc-e386f866c6f0,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-21 10:09:11.370000,2026-05-21 22:09:11.370000,""
d7d9b75e-87cd-4d10-bf95-5374e5b0df85,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-23 05:35:12.523000,2026-05-23 17:35:12.523000,""
