coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
46310d5b-b9bb-4017-b5e5-668ef3fed7da,group_logo,upload,image,group_logo/d14d58a3-e4ee-435e-a1c3-ae7e5747e966.png,http://34.18.212.32/uploads/assets/group_logo/d14d58a3-e4ee-435e-a1c3-ae7e5747e966.png,"ChatGPT Image Apr 19, 2026, 09_18_00 PM.png",image/png,1543458,1024,1024,"",6b093ef97c471da1ced9a7a09e7e0b5f8f8c1fac79a6adb7ea29a23a829e34ed,9e2848e0-25eb-4d97-9dd7-525826848150,2026-04-19 18:18:23.866000,2026-04-19 18:18:23.866000
3a83a360-4cfe-4f5a-863a-a76a27a6990a,story_image,upload,image,story_image/5098848b-c1d9-46f8-ade2-a66059dc1cb5.png,http://34.18.212.32/uploads/assets/story_image/5098848b-c1d9-46f8-ade2-a66059dc1cb5.png,Simulator Screenshot - iPhone 15 Pro - 2026-04-19 at 21.21.08(1).png,image/png,282640,900,1600,"",e11b5d287765b6ad1ece3ca0ae65738a92ffab3b634b641de8e08cbfb5c3655e,9e2848e0-25eb-4d97-9dd7-525826848150,2026-04-19 18:27:53.178000,2026-04-19 18:27:53.178000
b0c3afcb-ad30-41d3-ab3d-77a70bce09d8,group_logo,cloud_upload,image,assets/group_logo/d093a837-0a44-40e6-92fe-7a4937772e32.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/group_logo/d093a837-0a44-40e6-92fe-7a4937772e32.jpg,"ChatGPT Image Apr 26, 2026, 11_03_32 AM.jpg",image/jpeg,22597,500,500,"",768ef965001b41dbf21ebcedefd1b960220f529b36c327ef76439a4fb0209990,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:00:08.385000,2026-05-01 20:00:08.385000
f17139c3-67c6-488b-998c-bb15aece5aba,group_logo,cloud_upload,image,assets/group_logo/574545b9-9afa-4d2b-adab-0eba1f4910b7.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/group_logo/574545b9-9afa-4d2b-adab-0eba1f4910b7.jpg,wr.jpg,image/jpeg,56009,500,500,"",7671bb997b6ad335e1d070db012d6ba4e2f92900dba635e7d9d402a0d7496ff4,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:03:43.481000,2026-05-01 20:03:43.481000
5b396036-adcd-437e-8545-e24122a429f9,group_logo,cloud_upload,image,assets/group_logo/01888ad7-0251-4f2e-8e5a-b628a22e41c0.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/group_logo/01888ad7-0251-4f2e-8e5a-b628a22e41c0.jpg,"ChatGPT Image May 1, 2026, 11_37_22 PM.jpg",image/jpeg,53689,500,500,"",77e3b6e8b05ac7bf84bf6ff8687343d1b295f4fee8ab2f79459703705c3367e0,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:41:12.052000,2026-05-01 20:41:12.052000
2b112790-f3b0-4557-8663-0916695d8216,group_logo,cloud_upload,image,assets/group_logo/714edae1-fdb5-4ea5-893e-dcd4ec81a6b6.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/group_logo/714edae1-fdb5-4ea5-893e-dcd4ec81a6b6.jpg,"ChatGPT Image May 1, 2026, 11_37_48 PM.jpg",image/jpeg,19703,500,500,"",c8906eca9d22e451f89d98f828aa107d0f3ed982234b0d6852c0035d8b0f022c,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:42:20.768000,2026-05-01 20:42:20.768000
96429393-bf42-4a27-80f9-9e0478f6ebf0,group_logo,cloud_upload,image,assets/group_logo/491e8068-01f6-41af-a268-9c4d84a34454.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/group_logo/491e8068-01f6-41af-a268-9c4d84a34454.jpg,aotr.jpg,image/jpeg,6217,100,100,"",85912ebe0ca39bc6351f65d2a315c359a0fdcd1c229d0d4fa365e76c6e8cb41f,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:49:55.296000,2026-05-01 20:49:55.296000
0d4ab45f-afbc-4651-ba4f-9006c6fb40c8,group_logo,cloud_upload,image,assets/group_logo/a5e2c0e0-3a54-473d-a11d-a1baaef2bddc.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/group_logo/a5e2c0e0-3a54-473d-a11d-a1baaef2bddc.jpg,1775506163.jpg,image/jpeg,5884,100,100,"",0a169fb05a174edd744ba6df0ff9a0ae6377a86d660529724b6b138b18e0cc9f,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:51:55.752000,2026-05-01 20:51:55.752000
9e0676c1-3de2-409e-acda-1dfec253addd,group_logo,cloud_upload,image,assets/group_logo/640a92f3-8d73-40d7-9c94-45db25de4424.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/group_logo/640a92f3-8d73-40d7-9c94-45db25de4424.jpg,1775766438.jpg,image/jpeg,6115,100,100,"",6cd501edbaed2cc07abdbf972df8d292b81d7acdc284eb95f4186adc85d09e85,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:53:31.626000,2026-05-01 20:53:31.626000
f69f06b0-4014-4ff7-800d-f89f9e35f0f1,group_logo,cloud_upload,image,assets/group_logo/6f10873a-02d7-4f7b-9fef-62bf6affb0b0.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/group_logo/6f10873a-02d7-4f7b-9fef-62bf6affb0b0.jpg,1775767725.jpg,image/jpeg,5858,100,100,"",b09e45c9af8ac70bb7d11eec5083b50b8775967afbf4ad5246f72e5feb9771fb,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:54:43.743000,2026-05-01 20:54:43.743000
