coalesce,coalesce,case,coalesce,coalesce,coalesce,coalesce
9ca6ed0b-297b-4f55-8e9f-855f2251a3b5,Login,1,730c7b33-62a3-4765-8efe-fa58fb95a270,4b35ed17-65b3-40aa-a71e-82e581bda8bb,2026-04-19 18:28:20.484000,2026-05-02 09:06:57.209000
eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,Wr1,0,4e03ec9f-4ad2-4782-8490-fa5c0b040051,4e03ec9f-4ad2-4782-8490-fa5c0b040051,2026-05-01 20:05:30.139000,2026-05-01 21:12:42.288000
2e53a072-41f1-48e8-a379-9b8885fcdbcb,Wr2,0,af56e828-d818-40ed-8385-4c9aaf70a6b6,af56e828-d818-40ed-8385-4c9aaf70a6b6,2026-05-01 20:05:59.327000,2026-05-01 21:13:09.898000
0b1dfee9-fda0-4832-ad45-819cecc9ca2a,Wr3,0,4b0b2edf-61c3-4b61-9123-65d4cb619290,4b0b2edf-61c3-4b61-9123-65d4cb619290,2026-05-01 20:06:32.123000,2026-05-01 21:14:13.398000
6f238d25-d034-46b0-ab68-51d9226aca7a,Wr4,0,3b1851a5-c582-49c0-b8fa-aadd2249c023,3b1851a5-c582-49c0-b8fa-aadd2249c023,2026-05-01 20:07:04.841000,2026-05-01 21:15:09.556000
f12004bc-bec3-44c7-a89d-3900ea872596,Wr5,0,53f6dd20-fa69-46c4-913a-1b69418d3d4d,53f6dd20-fa69-46c4-913a-1b69418d3d4d,2026-05-01 20:07:37.333000,2026-05-01 21:16:16.056000
30276874-c317-4a5f-b439-cd5b426bfce6,Wr6,0,ff488b9c-e39d-48bd-9fba-eccd50e219c6,ff488b9c-e39d-48bd-9fba-eccd50e219c6,2026-05-01 20:08:40.282000,2026-05-01 21:20:41.101000
9f113820-e9f2-4eb4-86fb-f67600e3928f,How To1,0,f9ebf5f2-0422-4cd2-99e6-839c1898d599,f9ebf5f2-0422-4cd2-99e6-839c1898d599,2026-05-02 08:52:32.892000,2026-05-02 08:57:44.288000
b93835f9-3981-4447-bcf5-fc2e5229767e,How To3,0,a4b77529-36a3-48fd-b9c0-676f68b9dc2d,a4b77529-36a3-48fd-b9c0-676f68b9dc2d,2026-05-02 09:00:18.307000,2026-05-02 09:00:26.757000
3268c51a-9456-40e4-bfce-c9550f58347e,Wild Rift Road to LEGENDS Hafta 3 Story,0,a5b8e03a-b301-447f-b35f-f277610ac66b,a5b8e03a-b301-447f-b35f-f277610ac66b,2026-05-04 19:39:28.916000,2026-05-04 19:39:43.436000
