coalesce,coalesce,case,coalesce,coalesce,coalesce,coalesce
94d8e72b-cd0e-4a47-aee2-0b78438c054d,TETO Games,0,412b1067-100d-4fff-a3cd-d3c0f33f11ec,412b1067-100d-4fff-a3cd-d3c0f33f11ec,2026-05-10 08:28:10.694000,2026-05-30 22:09:14.990000
387ff09a-6930-4fcb-a9c2-352fed859450,Always.ON Türkiye,0,ef8943d7-0fd2-4422-9ae7-7a565fe64e7b,ef8943d7-0fd2-4422-9ae7-7a565fe64e7b,2026-05-01 20:50:13.196000,2026-05-01 20:50:45.567000
0f09e2cf-b7aa-4fa5-827a-19bfabf1230c,Always.ON Polska,0,7d422f06-987d-4625-acdd-58a24d42bbba,7d422f06-987d-4625-acdd-58a24d42bbba,2026-05-01 20:54:59.999000,2026-05-14 19:57:28.867000
f5e5d053-051b-47b9-b36b-7601dbd64553,Nasıl Yaparım,0,30df313b-da54-4746-8e87-2c877b965470,30df313b-da54-4746-8e87-2c877b965470,2026-05-01 20:00:27.226000,2026-05-09 15:11:16.489000
6883f5c1-26c9-4fd7-8abb-3051b06d7714,How To,1,fa90f30f-d746-4b46-9d63-ee03d5196d30,bf0e3104-5254-4465-a922-9bd2a92dca07,2026-04-19 18:20:02.545000,2026-05-10 07:23:38.924000
fad03ff3-7339-4a1d-a42b-b67848011a08,Wild Rift,0,b68f2aca-4ece-4457-8141-3b244d657db6,b68f2aca-4ece-4457-8141-3b244d657db6,2026-05-01 20:03:54.459000,2026-05-21 10:11:39.271000
a13c7d0a-e563-4795-a97e-d546a52a22fd,Şampiyonlar,0,5b5f16d5-47bc-4d46-8f0c-b2b8dda0bb12,5b5f16d5-47bc-4d46-8f0c-b2b8dda0bb12,2026-05-02 15:38:37.777000,2026-05-24 23:02:08.091000
f512aaf6-eef5-4602-82ff-f172d248c444,Always.ON România,0,ed95bcc6-9ba6-4ace-bad2-ec8d04061d56,ed95bcc6-9ba6-4ace-bad2-ec8d04061d56,2026-05-01 20:53:49.322000,2026-05-12 17:00:45.082000
11931174-9cfc-41b7-83a0-3ead37aca581,Kayıtlar Açık,0,8544c666-e245-41aa-9373-7a371339c769,8544c666-e245-41aa-9373-7a371339c769,2026-05-01 20:41:25.200000,2026-05-28 21:15:12.865000
88726c57-12a1-48f6-bb92-1ff9ec82fe54,Always.ON Azərbaycan,0,07f23c34-317c-4ed1-88e5-4dcdb60184f3,07f23c34-317c-4ed1-88e5-4dcdb60184f3,2026-05-01 20:52:22.690000,2026-05-28 21:15:48.907000
96012ef7-a1ed-47a4-9734-a8ac7ce83509,Canlı Yayın,0,fc58f79a-7935-41ab-929c-f447c3c8ab6e,fc58f79a-7935-41ab-929c-f447c3c8ab6e,2026-05-01 20:42:39.767000,2026-05-30 17:01:19.605000
