coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
03016c6a-d48d-4cf8-9f0c-b06f5a6f16ed,11931174-9cfc-41b7-83a0-3ead37aca581,21,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,draft,"",2026-05-19 05:04:11.723000
4c3d3174-76b0-4dd1-b346-15291c904ff5,11931174-9cfc-41b7-83a0-3ead37aca581,22,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,published,"",2026-05-19 05:04:24.837000
702679ab-27ea-4f58-9b17-eb0a035e6c49,88726c57-12a1-48f6-bb92-1ff9ec82fe54,5,Always.ON Azərbaycan,"",0d4ab45f-afbc-4651-ba4f-9006c6fb40c8,emoji,🇦🇿,draft,"",2026-05-19 05:04:46.229000
10cc0858-ed06-4bfc-9342-2c315bcf8432,88726c57-12a1-48f6-bb92-1ff9ec82fe54,6,Always.ON Azərbaycan,"",0d4ab45f-afbc-4651-ba4f-9006c6fb40c8,emoji,🇦🇿,published,"",2026-05-19 05:04:56.807000
178bfd01-7249-43d6-8aff-f88d5561e67d,11931174-9cfc-41b7-83a0-3ead37aca581,25,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,draft,"",2026-05-21 10:06:21.139000
c8e41f6e-1a1f-4dfe-b906-2a9587f55e5e,11931174-9cfc-41b7-83a0-3ead37aca581,26,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,published,"",2026-05-21 10:06:36.738000
7b22a74f-b2a8-41e0-8f3d-26f8837c936b,fad03ff3-7339-4a1d-a42b-b67848011a08,20,Wild Rift,"",f17139c3-67c6-488b-998c-bb15aece5aba,"","",draft,"",2026-05-21 10:06:59.963000
a8b2a1ad-185a-467e-a731-bcf1db7666fd,fad03ff3-7339-4a1d-a42b-b67848011a08,21,Wild Rift,"",f17139c3-67c6-488b-998c-bb15aece5aba,"","",published,"",2026-05-21 10:07:14.464000
47e20e9c-f296-4e6e-b789-d0f651dfc6c3,11931174-9cfc-41b7-83a0-3ead37aca581,27,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,draft,"",2026-05-21 10:10:31.259000
1d24beab-8c45-48c9-a273-939263c567bd,11931174-9cfc-41b7-83a0-3ead37aca581,28,Kayıtlar Açık,"",5b396036-adcd-437e-8545-e24122a429f9,emoji,🔥,published,"",2026-05-21 10:10:46.679000
