coalesce,coalesce,coalesce,coalesce,coalesce
2abc0e07-d572-4551-88d7-1a11b5afac4c,bf0e3104-5254-4465-a922-9bd2a92dca07,9ca6ed0b-297b-4f55-8e9f-855f2251a3b5,0,2026-04-19 18:28:20.484000
b5410a30-0a47-49b1-83ed-4f58e01c4519,1e14934b-b8cd-42d1-9713-3184e5262679,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,0,2026-05-01 20:05:30.139000
b48bbb8f-e92a-48d1-b97e-4b13d5b21b6b,fe93f2e3-16d3-43b6-b05f-2a3227b1b11c,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,0,2026-05-01 20:05:59.327000
15d5f40f-1f56-406f-82ae-72c24e63ca0b,fe93f2e3-16d3-43b6-b05f-2a3227b1b11c,2e53a072-41f1-48e8-a379-9b8885fcdbcb,1,2026-05-01 20:05:59.327000
0104242e-0196-4415-970b-ce61cfe585f1,da5fbb50-297c-4881-a1bb-bc507914d55b,2e53a072-41f1-48e8-a379-9b8885fcdbcb,0,2026-05-01 20:06:03.352000
da4a34ff-4905-46ea-b548-9b680feab214,da5fbb50-297c-4881-a1bb-bc507914d55b,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,1,2026-05-01 20:06:03.352000
4131580d-5031-4f8b-b919-14ed54016c7d,c950c57c-b086-4b06-94a8-72f132c70862,2e53a072-41f1-48e8-a379-9b8885fcdbcb,0,2026-05-01 20:06:32.123000
68df1898-541c-4b75-82f9-04b4854c02a8,c950c57c-b086-4b06-94a8-72f132c70862,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,1,2026-05-01 20:06:32.123000
c8bac6c0-bd4c-42ad-996f-f7e46a119ba6,c950c57c-b086-4b06-94a8-72f132c70862,0b1dfee9-fda0-4832-ad45-819cecc9ca2a,2,2026-05-01 20:06:32.123000
a9236585-c73b-4d5b-9ffa-2e56fd32ed83,3c02c301-7bb6-483a-8e91-b354c33d979c,0b1dfee9-fda0-4832-ad45-819cecc9ca2a,0,2026-05-01 20:06:36.663000
89fd821a-d35f-448b-bde3-8f02d27f6293,3c02c301-7bb6-483a-8e91-b354c33d979c,2e53a072-41f1-48e8-a379-9b8885fcdbcb,1,2026-05-01 20:06:36.663000
29c4e5de-72a7-4997-8d11-75a993e6d81d,3c02c301-7bb6-483a-8e91-b354c33d979c,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,2,2026-05-01 20:06:36.663000
bce6e387-3f0b-4fda-b91a-fe4a42cee536,3ca20756-1ace-41eb-9cf4-f7af768f783e,0b1dfee9-fda0-4832-ad45-819cecc9ca2a,0,2026-05-01 20:07:04.841000
ac9fc394-3f16-4931-b4aa-86c42bde8186,3ca20756-1ace-41eb-9cf4-f7af768f783e,2e53a072-41f1-48e8-a379-9b8885fcdbcb,1,2026-05-01 20:07:04.841000
251e287e-c664-4d0a-891b-2c745fb1e142,3ca20756-1ace-41eb-9cf4-f7af768f783e,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,2,2026-05-01 20:07:04.841000
69c15e76-9262-49e3-9c19-adb9b21ed21e,3ca20756-1ace-41eb-9cf4-f7af768f783e,6f238d25-d034-46b0-ab68-51d9226aca7a,3,2026-05-01 20:07:04.841000
9634265b-7864-4d0f-af30-2e88a634aa0e,5a916721-6641-4760-a431-cd11db8063f1,0b1dfee9-fda0-4832-ad45-819cecc9ca2a,0,2026-05-01 20:07:37.333000
7124bd89-ae2d-4a89-960e-6f1297b5ceb8,5a916721-6641-4760-a431-cd11db8063f1,2e53a072-41f1-48e8-a379-9b8885fcdbcb,1,2026-05-01 20:07:37.333000
ed622aa9-79b7-4ed4-a5bf-e52dc73a9402,5a916721-6641-4760-a431-cd11db8063f1,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,2,2026-05-01 20:07:37.333000
567a4c24-2f9f-4ecd-8f77-3cc0c97c1110,5a916721-6641-4760-a431-cd11db8063f1,6f238d25-d034-46b0-ab68-51d9226aca7a,3,2026-05-01 20:07:37.333000
bd1a9742-5a38-4b8d-a89d-67baceec366f,5a916721-6641-4760-a431-cd11db8063f1,f12004bc-bec3-44c7-a89d-3900ea872596,4,2026-05-01 20:07:37.333000
1b57f89f-7d64-45cb-bded-8da9753a55fa,6d962852-2429-4fad-9cc0-64ab5c20e147,0b1dfee9-fda0-4832-ad45-819cecc9ca2a,0,2026-05-01 20:08:40.282000
ef821d5f-59b0-4c72-b8c1-7e9145284d1b,6d962852-2429-4fad-9cc0-64ab5c20e147,2e53a072-41f1-48e8-a379-9b8885fcdbcb,1,2026-05-01 20:08:40.282000
c2152569-0ecc-42e9-b87a-facd0a8ce125,6d962852-2429-4fad-9cc0-64ab5c20e147,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,2,2026-05-01 20:08:40.282000
e1db19fe-9b3b-4c65-867f-2561758e4ca7,6d962852-2429-4fad-9cc0-64ab5c20e147,6f238d25-d034-46b0-ab68-51d9226aca7a,3,2026-05-01 20:08:40.282000
00984caf-1d3b-4c45-8379-bb0f95492626,6d962852-2429-4fad-9cc0-64ab5c20e147,f12004bc-bec3-44c7-a89d-3900ea872596,4,2026-05-01 20:08:40.282000
d2a1803c-8a2d-4437-a3cc-9fd2204ffc0d,6d962852-2429-4fad-9cc0-64ab5c20e147,30276874-c317-4a5f-b439-cd5b426bfce6,5,2026-05-01 20:08:40.282000
3917457e-30b3-47e4-b3dc-d95d87914722,79ed4449-8431-4ce8-991c-42543788eb03,2e53a072-41f1-48e8-a379-9b8885fcdbcb,0,2026-05-01 21:22:50.254000
3f73e63c-1367-49d2-b642-44e270f503b2,79ed4449-8431-4ce8-991c-42543788eb03,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,1,2026-05-01 21:22:50.254000
7cacee4d-511f-44aa-95f5-ff5b838443f3,79ed4449-8431-4ce8-991c-42543788eb03,0b1dfee9-fda0-4832-ad45-819cecc9ca2a,2,2026-05-01 21:22:50.254000
90195c39-35b4-4695-b2a6-95af5dd8d52c,79ed4449-8431-4ce8-991c-42543788eb03,6f238d25-d034-46b0-ab68-51d9226aca7a,3,2026-05-01 21:22:50.254000
df2c3d8f-6941-4d4a-9797-facdc8db3a80,79ed4449-8431-4ce8-991c-42543788eb03,f12004bc-bec3-44c7-a89d-3900ea872596,4,2026-05-01 21:22:50.254000
e80661f1-52b1-4edf-9289-4f2801c5e2e6,79ed4449-8431-4ce8-991c-42543788eb03,30276874-c317-4a5f-b439-cd5b426bfce6,5,2026-05-01 21:22:50.254000
11def473-6b15-4ddb-8c6d-3979a2489078,ca736726-2cf8-4f67-9988-0c9166194632,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,0,2026-05-01 21:23:03.210000
