coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
f6711c61-47b5-43f7-a5f7-3f4fb8695f45,44414feb-6e65-47ac-8d60-959ab7513e87,1,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.1.0,3.1.0,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-04-19 18:12:09.143000
fdecef08-011c-43e5-a3a8-e7dbbe677942,44414feb-6e65-47ac-8d60-959ab7513e87,2,TETEO HOME DEFAULT STORY BAR,published,"[""android"",""ios""]",3.1.0,3.1.0,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-04-19 18:20:02.583000
058a863f-9d89-4ec2-ae4b-1e2b04e83cb7,44414feb-6e65-47ac-8d60-959ab7513e87,3,TETEO HOME DEFAULT STORY BAR,published,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-04-19 19:27:20.055000
08d8dd89-5f85-4de3-88d2-26693ea80ddd,44414feb-6e65-47ac-8d60-959ab7513e87,4,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:00:28.379000
a7bde312-6ba6-4c05-8d73-945dd4c4e37f,44414feb-6e65-47ac-8d60-959ab7513e87,5,TETEO HOME DEFAULT STORY BAR,published,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:03:55.645000
74118f6b-a332-4c82-860f-83d933cee46f,44414feb-6e65-47ac-8d60-959ab7513e87,6,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:42:41.004000
34fb7731-beb7-4ec4-94f0-67358c69df99,44414feb-6e65-47ac-8d60-959ab7513e87,7,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:42:55.690000
b8c7c398-660d-4534-9e7e-fb850fe84111,44414feb-6e65-47ac-8d60-959ab7513e87,8,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:50:14.396000
ace4829e-e349-4203-bf84-5f4fbf06f539,44414feb-6e65-47ac-8d60-959ab7513e87,9,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:52:24.161000
7fd66399-776f-4f0f-b514-65c56ac2f791,44414feb-6e65-47ac-8d60-959ab7513e87,10,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:55:01.262000
ff126921-1a63-4587-92c0-ed60d5a9a4ca,44414feb-6e65-47ac-8d60-959ab7513e87,11,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:55:24.611000
85d8fcd0-cac3-4346-b987-1d17f7b77767,44414feb-6e65-47ac-8d60-959ab7513e87,12,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:56:09.474000
b782546d-24dd-493f-8b69-7d4467ece566,44414feb-6e65-47ac-8d60-959ab7513e87,13,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 20:56:25.766000
00c6c22f-4165-45fe-aeb4-c79c5da5de78,44414feb-6e65-47ac-8d60-959ab7513e87,14,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:00:28.496000
3be1cc77-46f0-4ce5-a4c2-f8036afc3ad1,44414feb-6e65-47ac-8d60-959ab7513e87,15,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 15:38:39.033000
e6f24237-a47c-42a5-bc8c-c9e24b3b01b2,44414feb-6e65-47ac-8d60-959ab7513e87,16,TETEO HOME DEFAULT STORY BAR,published,"[""android"",""ios""]",3.0.5,3.0.5,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 15:38:57.425000
3bdd7109-4dcb-43cd-8aea-66f4d6f2d7a2,44414feb-6e65-47ac-8d60-959ab7513e87,17,TETEO HOME DEFAULT STORY BAR,published,"[""android"",""ios""]",3.0.5,3.0.6,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-03 18:43:43.085000
59cb0b96-0d5c-4b14-87f0-3a99e2b39db3,44414feb-6e65-47ac-8d60-959ab7513e87,18,TETEO HOME DEFAULT STORY BAR,published,"[""android"",""ios""]",3.0.5,3.0.7,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-03 18:44:39.105000
f938f568-ba47-46a4-94e7-531c5c202cc1,44414feb-6e65-47ac-8d60-959ab7513e87,19,TETEO HOME DEFAULT STORY BAR,published,"[""android"",""ios""]",3.0.6,3.0.6,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-03 18:49:57.898000
a166256c-abaf-46ba-b90a-787a21e5c9b7,44414feb-6e65-47ac-8d60-959ab7513e87,20,TETEO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.6,3.0.6,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-10 08:28:12.406000
635e1b54-e8ad-4b18-8c31-4308cc088fa2,44414feb-6e65-47ac-8d60-959ab7513e87,21,TETEO HOME DEFAULT STORY BAR,published,"[""ios"",""android""]",3.0.6,3.0.6,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-10 08:30:21.998000
5e74291a-4177-4e8c-a911-87a65331f867,44414feb-6e65-47ac-8d60-959ab7513e87,22,TETO HOME DEFAULT STORY BAR,published,"[""ios"",""android""]",3.0.6,3.0.6,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-11 13:23:36.378000
2a18ebb1-35fa-49f3-850b-767e35acdf06,44414feb-6e65-47ac-8d60-959ab7513e87,23,TETO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.6,3.0.6,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-24 23:03:49.797000
eb88ca1b-fad7-4c5a-8bd2-cbb733fd66e8,44414feb-6e65-47ac-8d60-959ab7513e87,24,TETO HOME DEFAULT STORY BAR,draft,"[""android"",""ios""]",3.0.6,3.0.6,"[""nologin""]",9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-24 23:04:18.944000
