coalesce,coalesce,coalesce,coalesce,coalesce
d216380c-e628-40b7-8ee6-bcffceec5374,fdecef08-011c-43e5-a3a8-e7dbbe677942,6883f5c1-26c9-4fd7-8abb-3051b06d7714,0,2026-04-19 18:20:02.583000
9122f2f8-3695-4121-babd-c1f27224a039,058a863f-9d89-4ec2-ae4b-1e2b04e83cb7,6883f5c1-26c9-4fd7-8abb-3051b06d7714,0,2026-04-19 19:27:20.055000
52e47b5d-5ed2-49db-85bc-9365011f6c08,08d8dd89-5f85-4de3-88d2-26693ea80ddd,6883f5c1-26c9-4fd7-8abb-3051b06d7714,0,2026-05-01 20:00:28.379000
9ebbdefd-5647-46eb-94cc-4b61730aac5d,08d8dd89-5f85-4de3-88d2-26693ea80ddd,f5e5d053-051b-47b9-b36b-7601dbd64553,1,2026-05-01 20:00:28.379000
1743f1dc-756d-44de-90d1-264aae482024,a7bde312-6ba6-4c05-8d73-945dd4c4e37f,6883f5c1-26c9-4fd7-8abb-3051b06d7714,0,2026-05-01 20:03:55.645000
67609e91-398f-4b6f-8c83-1f991ed37844,a7bde312-6ba6-4c05-8d73-945dd4c4e37f,f5e5d053-051b-47b9-b36b-7601dbd64553,1,2026-05-01 20:03:55.645000
e57c786f-a62f-4918-b81e-3b63164b6645,a7bde312-6ba6-4c05-8d73-945dd4c4e37f,fad03ff3-7339-4a1d-a42b-b67848011a08,2,2026-05-01 20:03:55.645000
5a8182cc-79f9-46fd-a759-8e0d03fe9cbe,74118f6b-a332-4c82-860f-83d933cee46f,6883f5c1-26c9-4fd7-8abb-3051b06d7714,0,2026-05-01 20:42:41.004000
9a7e8623-3b89-4797-ab0d-10f82d3be998,74118f6b-a332-4c82-860f-83d933cee46f,f5e5d053-051b-47b9-b36b-7601dbd64553,1,2026-05-01 20:42:41.004000
cf8447c3-29d4-4c9b-8c45-f66b8c05b655,74118f6b-a332-4c82-860f-83d933cee46f,fad03ff3-7339-4a1d-a42b-b67848011a08,2,2026-05-01 20:42:41.004000
2dfee6fb-a59c-4a1c-a5fb-0aa984406b9e,74118f6b-a332-4c82-860f-83d933cee46f,96012ef7-a1ed-47a4-9734-a8ac7ce83509,3,2026-05-01 20:42:41.004000
94c35fed-7cad-412c-9949-0ba3061ab3a6,34fb7731-beb7-4ec4-94f0-67358c69df99,6883f5c1-26c9-4fd7-8abb-3051b06d7714,0,2026-05-01 20:42:55.690000
6a2fed95-3900-4e00-98f9-2f54cc5c9373,34fb7731-beb7-4ec4-94f0-67358c69df99,f5e5d053-051b-47b9-b36b-7601dbd64553,1,2026-05-01 20:42:55.690000
70ffac61-6b40-4def-899f-93b701358dd7,34fb7731-beb7-4ec4-94f0-67358c69df99,fad03ff3-7339-4a1d-a42b-b67848011a08,2,2026-05-01 20:42:55.690000
2db9ce93-38b1-46ec-8e0a-ad6a5e35c7c1,34fb7731-beb7-4ec4-94f0-67358c69df99,96012ef7-a1ed-47a4-9734-a8ac7ce83509,3,2026-05-01 20:42:55.690000
