coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
4b35ed17-65b3-40aa-a71e-82e581bda8bb,9ca6ed0b-297b-4f55-8e9f-855f2251a3b5,1,Login,image,3a83a360-4cfe-4f5a-863a-a76a27a6990a,"","","","","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-04-19 18:28:20.484000
4e03ec9f-4ad2-4782-8490-fa5c0b040051,eb940700-5ee2-48d4-b3b0-92b2c69bbbc3,2,Wr1,image,d59c52fa-a000-4d50-9434-21c6df974e87,"","","","","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:12:06.080000
af56e828-d818-40ed-8385-4c9aaf70a6b6,2e53a072-41f1-48e8-a379-9b8885fcdbcb,2,Wr2,image,0ea3ec99-eab3-49ba-8ffa-a6fde020fb01,"","","","","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:13:02.730000
4b0b2edf-61c3-4b61-9123-65d4cb619290,0b1dfee9-fda0-4832-ad45-819cecc9ca2a,2,Wr3,image,ad3e8064-2030-4ecb-a74a-ad0f470ed547,"","","","","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:14:08.101000
3b1851a5-c582-49c0-b8fa-aadd2249c023,6f238d25-d034-46b0-ab68-51d9226aca7a,2,Wr4,image,7e6c1110-c963-4936-b2fc-4e65b2c5b980,"","","","","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:15:00.598000
53f6dd20-fa69-46c4-913a-1b69418d3d4d,f12004bc-bec3-44c7-a89d-3900ea872596,2,Wr5,image,fe52d3bc-ffe8-4521-a1b7-c91de29868ab,"","","","","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:16:10.737000
ff488b9c-e39d-48bd-9fba-eccd50e219c6,30276874-c317-4a5f-b439-cd5b426bfce6,2,Wr6,image,b2699590-2d14-4ecd-8774-db63f29671c1,"","",İncele,url,https://tetogames.com/wildrift,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-01 21:20:35.780000
f9ebf5f2-0422-4cd2-99e6-839c1898d599,9f113820-e9f2-4eb4-86fb-f67600e3928f,2,How To1,image,08a28948-b137-465d-8bb6-919cd17c4086,"","",Takım Bul,deeplink,/team_search?lookingForPlayers=true&verifiedTeams=false,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 08:57:14.640000
cc464937-134a-47e5-8cd1-4ba6d0372ecd,6275e793-8b0e-4c10-a579-0d46ea8efae6,1,How To2,image,351ac73b-b4ba-4e61-9254-460291ba41df,"","","","","",draft,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 08:58:57.162000
06354b99-bfaa-4741-a8b9-afde95a2a1c8,6275e793-8b0e-4c10-a579-0d46ea8efae6,2,How To2,image,351ac73b-b4ba-4e61-9254-460291ba41df,"","",Takım Bul,deeplink,/team_search?lookingForPlayers=true&verifiedTeams=false,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 08:59:28.813000
a4b77529-36a3-48fd-b9c0-676f68b9dc2d,b93835f9-3981-4447-bcf5-fc2e5229767e,1,How To3,image,bcfb341f-5e1a-4354-8550-73b26a09da59,"","",Takım Bul,deeplink,/team_search?lookingForPlayers=true&verifiedTeams=false,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 09:00:18.307000
730c7b33-62a3-4765-8efe-fa58fb95a270,9ca6ed0b-297b-4f55-8e9f-855f2251a3b5,2,Login,image,bcfb341f-5e1a-4354-8550-73b26a09da59,"","","","","",draft,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-02 09:06:57.209000
948cdb39-57da-4b4e-b5f6-f888c0c7a222,7ef2d75b-01d5-4e0d-875b-fbd12e610019,1,Wild Rift Road to LEGENDS Hafta 3 Story,image,0f69280c-aabf-42cc-b2b3-b780661cd193,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1469&tournament_name=Wild+Rift+Road+to+LEGENDS+Hafta+3,published,"",2026-05-04 19:39:14.737000
a5b8e03a-b301-447f-b35f-f277610ac66b,3268c51a-9456-40e4-bfce-c9550f58347e,1,Wild Rift Road to LEGENDS Hafta 3 Story,image,0f69280c-aabf-42cc-b2b3-b780661cd193,"",5000,Detay,deeplink,/tournament_detail?id=1469&tournament_name=Wild+Rift+Road+to+LEGENDS+Hafta+3,published,"",2026-05-04 19:39:28.916000
3333b687-3e47-41f8-93b7-b3b0c6a708ae,5d4a3d23-043f-4df2-8758-244dcca97935,1,Always-ON Azərbaycan Mövsüm 2 Həftə 2 Story,image,7cca66f2-a854-4ca5-9fc9-b6115abb870a,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1463&tournament_name=Always-ON+Az%C9%99rbaycan+M%C3%B6vs%C3%BCm+2+H%C9%99ft%C9%99+2,published,"",2026-05-04 19:44:10.118000
3561c06f-f6de-4ea9-af6b-2d470817530d,33fb9132-163e-4ab6-912c-d5e7b7480da0,1,Always-ON Azərbaycan Mövsüm 2 Həftə 2 Story,image,7cca66f2-a854-4ca5-9fc9-b6115abb870a,"",5000,Detay,deeplink,/tournament_detail?id=1463&tournament_name=Always-ON+Az%C9%99rbaycan+M%C3%B6vs%C3%BCm+2+H%C9%99ft%C9%99+2,published,"",2026-05-04 19:44:26.374000
085fa41b-a7d6-4843-9be4-93446b40a949,c9110552-02eb-45a2-b8e5-9d2e0ddc997a,1,Always-ON România Sezonul 2 Săptămâna 3 Story,image,a54364e4-5515-4118-b62e-3e7d659a3a28,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1457&tournament_name=Always-ON+Rom%C3%A2nia+Sezonul+2+S%C4%83pt%C4%83m%C3%A2na+3,published,"",2026-05-04 20:01:35.975000
d791b95c-1f8b-4961-af89-4b672ee8354a,7a0f2512-ff00-4f9a-a0d2-48360c75a885,1,Always-ON România Sezonul 2 Săptămâna 3 Story,image,a54364e4-5515-4118-b62e-3e7d659a3a28,"",5000,Detay,deeplink,/tournament_detail?id=1457&tournament_name=Always-ON+Rom%C3%A2nia+Sezonul+2+S%C4%83pt%C4%83m%C3%A2na+3,published,"",2026-05-04 20:01:55.598000
61568482-6879-4b77-bae3-2ed1a9852041,a1329300-73f6-40d6-9fb5-cfa5460a4647,2,Always-ON Polska Sezon 2 Tydzień 3 Story,image,d574c1d2-32ea-47df-993b-1b8921bef8a1,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1460&tournament_name=Always-ON+Polska+Sezon+2+Tydzie%C5%84+3,published,"",2026-05-05 09:09:18.294000
cb627cbd-b648-4ee4-94be-95bd9228abf3,95fe3a78-6153-4fce-bf38-d118275178af,2,Always-ON Polska Sezon 2 Tydzień 3 Story,image,d574c1d2-32ea-47df-993b-1b8921bef8a1,"",5000,Detay,deeplink,/tournament_detail?id=1460&tournament_name=Always-ON+Polska+Sezon+2+Tydzie%C5%84+3,published,"",2026-05-05 09:09:23.989000
a30372ce-7048-442d-9d83-d0296af88b87,f8931b26-fd15-4e71-ab4e-ca6f2d7b24c1,1,Always-ON România Sezonul 2 Săptămâna 4 Story,image,02b825b8-17ec-4c0f-884c-c815e9319f21,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1458&tournament_name=Always-ON+Rom%C3%A2nia+Sezonul+2+S%C4%83pt%C4%83m%C3%A2na+4,published,"",2026-05-05 16:10:00.556000
4637064e-5871-4133-bb21-6f4a56081ad9,6b836a6b-53b5-406b-aa4d-2bbedc1c1bea,1,Always-ON România Sezonul 2 Săptămâna 4 Story,image,02b825b8-17ec-4c0f-884c-c815e9319f21,"",5000,Detay,deeplink,/tournament_detail?id=1458&tournament_name=Always-ON+Rom%C3%A2nia+Sezonul+2+S%C4%83pt%C4%83m%C3%A2na+4,published,"",2026-05-05 16:10:20.108000
72af20eb-66f3-4295-bb49-265bab068aca,b5a9ffec-d391-4f7d-8e37-b69a9d1bf80c,1,Always-ON Polska Sezon 2 Tydzień 4 Story,image,cf18ae3f-0c21-4c9c-8678-9c89f6f11e05,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1461&tournament_name=Always-ON+Polska+Sezon+2+Tydzie%C5%84+4,published,"",2026-05-07 21:41:48.845000
a71e6cd0-8a1a-4276-9b78-49b2892aadc9,5557c1b5-9aab-48e0-82f2-91a3e77c2299,1,Always-ON Polska Sezon 2 Tydzień 4 Story,image,cf18ae3f-0c21-4c9c-8678-9c89f6f11e05,"",5000,Detay,deeplink,/tournament_detail?id=1461&tournament_name=Always-ON+Polska+Sezon+2+Tydzie%C5%84+4,published,"",2026-05-07 21:42:15.985000
